INFO  - 2014-11-29 19:38:10.168; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8519 (1486166362861600768)]} 0 0
INFO  - 2014-11-29 19:38:10.173; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[852 (1486166362864746496)]} 0 2
INFO  - 2014-11-29 19:38:10.175; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8520 (1486166362868940800)]} 0 0
INFO  - 2014-11-29 19:38:10.178; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8521 (1486166362872086528)]} 0 0
INFO  - 2014-11-29 19:38:10.182; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8522 (1486166362876280832)]} 0 0
INFO  - 2014-11-29 19:38:10.185; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8523 (1486166362879426560)]} 0 0
INFO  - 2014-11-29 19:38:10.188; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8524 (1486166362882572288)]} 0 0
INFO  - 2014-11-29 19:38:10.192; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8525 (1486166362886766592)]} 0 0
INFO  - 2014-11-29 19:38:10.194; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8526 (1486166362888863744)]} 0 0
INFO  - 2014-11-29 19:38:10.198; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8527 (1486166362893058048)]} 0 0
INFO  - 2014-11-29 19:38:10.201; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8528 (1486166362896203776)]} 0 0
INFO  - 2014-11-29 19:38:10.210; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8529 (1486166362905640960)]} 0 0
INFO  - 2014-11-29 19:38:10.214; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[853 (1486166362909835264)]} 0 0
INFO  - 2014-11-29 19:38:10.217; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8530 (1486166362912980992)]} 0 0
INFO  - 2014-11-29 19:38:10.221; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8531 (1486166362916126720)]} 0 1
INFO  - 2014-11-29 19:38:10.223; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8532 (1486166362919272448)]} 0 0
INFO  - 2014-11-29 19:38:10.226; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8533 (1486166362922418176)]} 0 0
INFO  - 2014-11-29 19:38:10.230; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8534 (1486166362926612480)]} 0 0
INFO  - 2014-11-29 19:38:10.233; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8535 (1486166362929758208)]} 0 0
INFO  - 2014-11-29 19:38:10.238; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8536 (1486166362935001088)]} 0 0
INFO  - 2014-11-29 19:38:10.240; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8537 (1486166362937098240)]} 0 0
INFO  - 2014-11-29 19:38:10.243; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8538 (1486166362940243968)]} 0 0
INFO  - 2014-11-29 19:38:10.247; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8539 (1486166362943389696)]} 0 1
INFO  - 2014-11-29 19:38:10.251; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[854 (1486166362947584000)]} 0 1
INFO  - 2014-11-29 19:38:10.256; org.apache.solr.update.processor.LogUpdateProcessor; [collection1] webapp=/solr path=/update params={} {add=[8540 (1486166362953875456)]} 0 0
