INFO  - 2014-11-30 14:14:57.160; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={mm=66%25&df=content&qs=2&ps=3&hl=true&indent=&fl=*,score&hl.usePhraseHighlighter=true&sort=sum(div(sum(1,clicks),+10),+query({!dismax+fl%3D'*,score'+df%3D'content'+qf%3D'content^20+title^15+author^30+place^30+date^30'+mm%3D'66%25'+pf%3D'content^50'+ps%3D3+qs%3D2+tie%3D1+v%3D'coffee+expor'},+0.01))+desc&hl.simple.pre=<span+class%3D'highlight'>&hl.snippets=10&tie=1&q=coffee+expor&defType=dismax&hl.simple.post=</span>&qf=content^20+title^15+author^30+place^30+date^30&pf=content^50&wt=json&hl.highlightMultiTerm=true} hits=133 status=0 QTime=53 
INFO  - 2014-11-30 14:18:55.059; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=docId:7216&wt=json} hits=1 status=0 QTime=2 
INFO  - 2014-11-30 14:18:55.060; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/select params={q=docId:7216&wt=json} hits=1 status=0 QTime=1 
INFO  - 2014-11-30 14:18:55.095; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2014-11-30 14:18:55.553; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Users\Vaibhav\Desktop\Solr\servers\server_news\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Vaibhav\Desktop\Solr\servers\server_news\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_21,generation=73}
	commit{dir=NRTCachingDirectory(SimpleFSDirectory@C:\Users\Vaibhav\Desktop\Solr\servers\server_news\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\Users\Vaibhav\Desktop\Solr\servers\server_news\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_22,generation=74}
INFO  - 2014-11-30 14:18:55.554; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 74
INFO  - 2014-11-30 14:18:55.565; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1a86981[collection1] main
INFO  - 2014-11-30 14:18:55.569; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2014-11-30 14:18:55.582; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@1a86981[collection1] main{StandardDirectoryReader(segments_1y:259:nrt _1p(4.10.2):C9598/8:delGen=8 _1r(4.10.2):C1 _1t(4.10.2):C1 _1v(4.10.2):C1 _1w(4.10.2):C1 _1x(4.10.2):C1 _1y(4.10.2):C1 _20(4.10.2):C1 _22(4.10.2):C1)}
INFO  - 2014-11-30 14:18:55.583; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-11-30 14:18:55.584; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@1a86981[collection1] main{StandardDirectoryReader(segments_1y:259:nrt _1p(4.10.2):C9598/8:delGen=8 _1r(4.10.2):C1 _1t(4.10.2):C1 _1v(4.10.2):C1 _1w(4.10.2):C1 _1x(4.10.2):C1 _1y(4.10.2):C1 _20(4.10.2):C1 _22(4.10.2):C1)}
